drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
PICATO GEL,APPLICATION SITE PAIN,6,390.9,125.35,1218.98,PICATO GEL + APPLICATION SITE PAIN
TECFIDERA,PRESCRIBED UNDERDOSE,8,378.13,47.08,3037.15,TECFIDERA + PRESCRIBED UNDERDOSE
ISOSORBIDE,TRANSAMINASES INCREASED,3,374.21,86.5,1618.9,ISOSORBIDE + TRANSAMINASES INCREASED
COPEGUS,PANCYTOPENIA,9,373.39,139.35,1000.49,COPEGUS + PANCYTOPENIA
NEXPLANON,DEVICE DEPLOYMENT ISSUE,3,369.15,71.3,1911.23,NEXPLANON + DEVICE DEPLOYMENT ISSUE
PICATO,APPLICATION SITE EXFOLIATION,7,368.85,121.11,1123.35,PICATO + APPLICATION SITE EXFOLIATION
CETIRIZINE 10 MG,EXTRA DOSE ADMINISTERED,13,368.11,148.73,911.06,CETIRIZINE 10 MG + EXTRA DOSE ADMINISTERED
OXYTROL FOR WOMEN,APPLICATION SITE BURN,4,362.79,40.22,3272.41,OXYTROL FOR WOMEN + APPLICATION SITE BURN
QUETIAPINE,SEDATION,3,356.36,82.24,1544.06,QUETIAPINE + SEDATION
NEULASTA,HOSPITALISATION,22,353.96,163.9,764.45,NEULASTA + HOSPITALISATION
METHOTREXATE,CHRONIC GRAFT VERSUS HOST DISEASE,7,353.32,72.48,1722.31,METHOTREXATE + CHRONIC GRAFT VERSUS HOST DISEASE
RISPERIDONE,SEDATION,4,349.86,91.35,1339.94,RISPERIDONE + SEDATION
MORPHINE SULFATE.,DRUG HYPERSENSITIVITY,4,346.7,38.45,3126.21,MORPHINE SULFATE. + DRUG HYPERSENSITIVITY
METFORMIN,CONTINUOUS HAEMODIAFILTRATION,4,334.81,37.14,3018.23,METFORMIN + CONTINUOUS HAEMODIAFILTRATION
DOMPERIDONE,HEART RATE INCREASED,8,331.3,104.61,1049.24,DOMPERIDONE + HEART RATE INCREASED
MIRENA,DYSPAREUNIA,4,325.67,58.55,1811.42,MIRENA + DYSPAREUNIA
WARFARIN,PULMONARY TOXICITY,3,322.96,33.28,3133.87,WARFARIN + PULMONARY TOXICITY
YAZ,PULMONARY EMBOLISM,27,318.66,167.65,605.71,YAZ + PULMONARY EMBOLISM
DOCETAXEL (UNKNOWN),BREAST CANCER,6,315.89,62.94,1585.38,DOCETAXEL (UNKNOWN) + BREAST CANCER
SOBRIL,MUSCLE SPASMS,3,312.66,32.23,3033.1,SOBRIL + MUSCLE SPASMS
