drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
METOCLOPRAMIDE,DRUG INTERACTION,3,15.03,4.32,52.24,METOCLOPRAMIDE + DRUG INTERACTION
LETAIRIS,UNEVALUABLE EVENT,83,15.02,9.75,23.13,LETAIRIS + UNEVALUABLE EVENT
OXYCONTIN,DECREASED APPETITE,3,14.99,4.37,51.44,OXYCONTIN + DECREASED APPETITE
CITALOPRAM,DRUG ABUSE,3,14.97,4.47,50.19,CITALOPRAM + DRUG ABUSE
PRADAXA,GASTROINTESTINAL HAEMORRHAGE,5,14.94,5.78,38.63,PRADAXA + GASTROINTESTINAL HAEMORRHAGE
FOSAMAX,PAIN IN EXTREMITY,4,14.92,5.03,44.24,FOSAMAX + PAIN IN EXTREMITY
ALLOPURINOL,HAEMATOCRIT DECREASED,4,14.89,5.04,44.0,ALLOPURINOL + HAEMATOCRIT DECREASED
ZOLPIDEM,HAEMOGLOBIN DECREASED,4,14.87,4.92,44.96,ZOLPIDEM + HAEMOGLOBIN DECREASED
AMBIEN,DEEP VEIN THROMBOSIS,3,14.86,4.45,49.62,AMBIEN + DEEP VEIN THROMBOSIS
CARVEDILOL,GASTROINTESTINAL HAEMORRHAGE,3,14.81,4.43,49.57,CARVEDILOL + GASTROINTESTINAL HAEMORRHAGE
ZYPREXA,WEIGHT INCREASED,3,14.75,4.19,51.87,ZYPREXA + WEIGHT INCREASED
BENADRYL,INSOMNIA,3,14.7,4.21,51.37,BENADRYL + INSOMNIA
DIGOXIN,DRUG INTERACTION,4,14.68,4.98,43.25,DIGOXIN + DRUG INTERACTION
WARFARIN,HAEMATURIA,3,14.65,4.31,49.8,WARFARIN + HAEMATURIA
NEURONTIN,DEHYDRATION,3,14.64,4.38,48.94,NEURONTIN + DEHYDRATION
KLOR-CON,ANAEMIA,4,14.59,4.67,45.59,KLOR-CON + ANAEMIA
IBUPROFEN,ADVERSE EVENT,3,14.56,4.35,48.71,IBUPROFEN + ADVERSE EVENT
IBUPROFEN,ARTHRITIS,3,14.56,4.35,48.71,IBUPROFEN + ARTHRITIS
AZACITIDINE,DRUG INEFFECTIVE,3,14.55,3.25,65.17,AZACITIDINE + DRUG INEFFECTIVE
MOTRIN,ABDOMINAL PAIN,3,14.54,4.13,51.14,MOTRIN + ABDOMINAL PAIN
LETAIRIS,TOOTH EXTRACTION,3,14.54,1.51,139.84,LETAIRIS + TOOTH EXTRACTION
ERLOTINIB TABLET,MALIGNANT NEOPLASM PROGRESSION,3,14.3,4.27,47.91,ERLOTINIB TABLET + MALIGNANT NEOPLASM PROGRESSION
LEVOTHYROXINE,SKIN DISCOLOURATION,3,14.3,4.15,49.2,LEVOTHYROXINE + SKIN DISCOLOURATION
AMPYRA,FALL,4,14.26,4.75,42.84,AMPYRA + FALL
COMBIVENT,OFF LABEL USE,4,14.26,4.81,42.26,COMBIVENT + OFF LABEL USE
VALIUM,DECREASED APPETITE,3,14.24,4.17,48.66,VALIUM + DECREASED APPETITE
NORCO,DEPRESSION,3,14.11,4.14,48.06,NORCO + DEPRESSION
DEXAMETHASONE,SWELLING FACE,3,14.11,4.23,47.05,DEXAMETHASONE + SWELLING FACE
VICODIN,PULMONARY EMBOLISM,3,13.99,4.19,46.68,VICODIN + PULMONARY EMBOLISM
TOPROL XL,HYPOAESTHESIA,3,13.96,4.14,47.11,TOPROL XL + HYPOAESTHESIA
KLOR-CON,PLATELET COUNT DECREASED,3,13.9,3.92,49.26,KLOR-CON + PLATELET COUNT DECREASED
CORICIDIN HBP COLD AND FLU,DRUG INEFFECTIVE,28,13.9,8.52,22.68,CORICIDIN HBP COLD AND FLU + DRUG INEFFECTIVE
PROCRIT,HAEMOGLOBIN DECREASED,6,13.88,5.64,34.18,PROCRIT + HAEMOGLOBIN DECREASED
ATORVASTATIN,DYSGEUSIA,4,13.87,4.83,39.87,ATORVASTATIN + DYSGEUSIA
COZAAR,DIARRHOEA,4,13.87,4.25,45.3,COZAAR + DIARRHOEA
DOCETAXEL,DIARRHOEA,4,13.87,4.25,45.3,DOCETAXEL + DIARRHOEA
BEVACIZUMAB,VOMITING,3,13.83,3.78,50.62,BEVACIZUMAB + VOMITING
ULORIC,DIZZINESS,3,13.77,3.43,55.3,ULORIC + DIZZINESS
BENADRYL,WEIGHT INCREASED,3,13.76,3.94,48.06,BENADRYL + WEIGHT INCREASED
XARELTO,INCORRECT DOSE ADMINISTERED,5,13.76,5.32,35.55,XARELTO + INCORRECT DOSE ADMINISTERED
JAKAFI,GOUT,12,13.72,5.14,36.62,JAKAFI + GOUT
SYNTHROID,RENAL IMPAIRMENT,3,13.69,3.98,47.1,SYNTHROID + RENAL IMPAIRMENT
TECFIDERA,MOBILITY DECREASED,7,13.69,5.83,32.12,TECFIDERA + MOBILITY DECREASED
ALLEGRA,HAEMOGLOBIN DECREASED,3,13.65,3.85,48.35,ALLEGRA + HAEMOGLOBIN DECREASED
VITAMIN D                          /00107901/,HAEMOGLOBIN DECREASED,3,13.65,3.85,48.35,VITAMIN D                          /00107901/ + HAEMOGLOBIN DECREASED
KLOR-CON,HAEMOGLOBIN DECREASED,3,13.65,3.85,48.35,KLOR-CON + HAEMOGLOBIN DECREASED
METFORMIN,RENAL FAILURE,5,13.57,5.19,35.52,METFORMIN + RENAL FAILURE
ADVAIR HFA,ABDOMINAL PAIN,3,13.57,3.89,47.38,ADVAIR HFA + ABDOMINAL PAIN
FUROSEMIDE,GASTROINTESTINAL HAEMORRHAGE,6,13.54,5.67,32.36,FUROSEMIDE + GASTROINTESTINAL HAEMORRHAGE
PAXIL,DRUG HYPERSENSITIVITY,3,13.54,3.95,46.4,PAXIL + DRUG HYPERSENSITIVITY
CETIRIZINE 10 MG,SOMNOLENCE,6,13.53,5.64,32.43,CETIRIZINE 10 MG + SOMNOLENCE
WELLBUTRIN,DEPRESSION,3,13.47,3.97,45.72,WELLBUTRIN + DEPRESSION
BABY ASPIRIN,HYPOAESTHESIA,3,13.42,3.99,45.19,BABY ASPIRIN + HYPOAESTHESIA
OXYTROL FOR WOMEN,DRUG INEFFECTIVE,44,13.4,9.08,19.79,OXYTROL FOR WOMEN + DRUG INEFFECTIVE
LETAIRIS,SINUS CONGESTION,11,13.38,4.26,42.08,LETAIRIS + SINUS CONGESTION
SUBOXONE,VOMITING,6,13.35,5.33,33.41,SUBOXONE + VOMITING
MECLIZINE,DIARRHOEA,3,13.34,3.43,51.82,MECLIZINE + DIARRHOEA
ACETYLSALICYLIC ACID,PYREXIA,4,13.3,4.45,39.73,ACETYLSALICYLIC ACID + PYREXIA
BEVACIZUMAB,NAUSEA,4,13.26,4.06,43.27,BEVACIZUMAB + NAUSEA
LEXAPRO,PULMONARY EMBOLISM,3,13.25,3.98,44.11,LEXAPRO + PULMONARY EMBOLISM
CISPLATIN,CHEST PAIN,4,13.25,4.54,38.65,CISPLATIN + CHEST PAIN
JAKAFI,NIGHT SWEATS,21,13.18,6.34,27.41,JAKAFI + NIGHT SWEATS
VITAMIN B12,URINARY TRACT INFECTION,3,13.11,3.92,43.86,VITAMIN B12 + URINARY TRACT INFECTION
DIANEAL LOW CALCIUM,DISCOMFORT,3,13.1,3.67,46.8,DIANEAL LOW CALCIUM + DISCOMFORT
COZAAR,ANAEMIA,3,13.08,3.57,47.83,COZAAR + ANAEMIA
WELLBUTRIN,ABDOMINAL PAIN,4,13.0,4.41,38.36,WELLBUTRIN + ABDOMINAL PAIN
COUMADIN                           /00014802/,DEATH,4,12.96,4.04,41.56,COUMADIN                           /00014802/ + DEATH
VOTRIENT,DEATH,4,12.96,4.04,41.56,VOTRIENT + DEATH
PROAIR HFA,DRUG INEFFECTIVE,4,12.95,3.64,46.05,PROAIR HFA + DRUG INEFFECTIVE
LOSARTAN,FLATULENCE,3,12.94,3.89,43.1,LOSARTAN + FLATULENCE
ATENOLOL.,FATIGUE,3,12.93,3.08,54.29,ATENOLOL. + FATIGUE
CALCIUM WITH VITAMIN D,FATIGUE,3,12.93,3.08,54.29,CALCIUM WITH VITAMIN D + FATIGUE
PLAVIX,GASTROINTESTINAL HAEMORRHAGE,5,12.92,5.02,33.26,PLAVIX + GASTROINTESTINAL HAEMORRHAGE
AMBIEN,INJURY,3,12.91,3.89,42.9,AMBIEN + INJURY
REVATIO,SINUS DISORDER,4,12.91,4.25,39.24,REVATIO + SINUS DISORDER
GABAPENTIN.,PAIN,3,12.88,3.47,47.86,GABAPENTIN. + PAIN
HYDROCHLOROTHIAZIDE.,PAIN,3,12.88,3.47,47.86,HYDROCHLOROTHIAZIDE. + PAIN
ARAVA,PAIN,3,12.88,3.47,47.86,ARAVA + PAIN
EXEMESTANE,PAIN,3,12.88,3.47,47.86,EXEMESTANE + PAIN
OXYTROL FOR WOMEN,WRONG TECHNIQUE IN DRUG USAGE PROCESS,6,12.84,5.35,30.8,OXYTROL FOR WOMEN + WRONG TECHNIQUE IN DRUG USAGE PROCESS
XARELTO,DEEP VEIN THROMBOSIS,4,12.82,4.48,36.74,XARELTO + DEEP VEIN THROMBOSIS
AVONEX,INJECTION SITE PAIN,4,12.82,4.38,37.47,AVONEX + INJECTION SITE PAIN
MELATONIN,NAUSEA,3,12.75,3.28,49.51,MELATONIN + NAUSEA
SPIRIVA,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3,12.73,3.77,42.97,SPIRIVA + CHRONIC OBSTRUCTIVE PULMONARY DISEASE
ARANESP,PLATELET COUNT DECREASED,8,12.72,5.85,27.65,ARANESP + PLATELET COUNT DECREASED
ZOMIG,DRUG INTERACTION,3,12.65,3.7,43.31,ZOMIG + DRUG INTERACTION
FOLIC ACID,FOETAL EXPOSURE DURING PREGNANCY,5,12.64,4.85,32.94,FOLIC ACID + FOETAL EXPOSURE DURING PREGNANCY
TRAMADOL,ABDOMINAL DISTENSION,3,12.58,3.79,41.81,TRAMADOL + ABDOMINAL DISTENSION
LEVOTHYROXINE,SPLENOMEGALY,6,12.55,5.23,30.12,LEVOTHYROXINE + SPLENOMEGALY
STELARA,PNEUMONIA,3,12.53,3.65,43.05,STELARA + PNEUMONIA
DOXORUBICIN,PNEUMONIA,3,12.53,3.65,43.05,DOXORUBICIN + PNEUMONIA
LYRICA,DRUG INTOLERANCE,6,12.5,5.11,30.58,LYRICA + DRUG INTOLERANCE
NEXIUM,BONE PAIN,3,12.49,3.76,41.47,NEXIUM + BONE PAIN
HYDROXYUREA,DISEASE PROGRESSION,3,12.47,3.74,41.55,HYDROXYUREA + DISEASE PROGRESSION
POMALYST,ASTHENIA,3,12.45,3.45,44.96,POMALYST + ASTHENIA
JAKAFI,CONTUSION,56,12.4,8.0,19.22,JAKAFI + CONTUSION
SPIRIVA,PRODUCT QUALITY ISSUE,10,12.39,6.24,24.61,SPIRIVA + PRODUCT QUALITY ISSUE
LASIX,RECTAL HAEMORRHAGE,3,12.38,3.66,41.87,LASIX + RECTAL HAEMORRHAGE
SERTRALINE,ALOPECIA,3,12.31,3.7,40.94,SERTRALINE + ALOPECIA
SANDOSTATIN LAR DEPOT,DYSPNOEA,4,12.29,3.46,43.69,SANDOSTATIN LAR DEPOT + DYSPNOEA
NORCO,ANXIETY,3,12.25,3.6,41.64,NORCO + ANXIETY
DIANEAL LOW CALCIUM (ULTRABAG),HYPOTENSION,6,12.22,5.12,29.15,DIANEAL LOW CALCIUM (ULTRABAG) + HYPOTENSION
LIPITOR,NEUROPATHY PERIPHERAL,23,12.21,7.1,21.0,LIPITOR + NEUROPATHY PERIPHERAL
ONDANSETRON,VOMITING,6,12.18,4.91,30.24,ONDANSETRON + VOMITING
HYDREA,WRONG TECHNIQUE IN DRUG USAGE PROCESS,3,12.18,3.67,40.39,HYDREA + WRONG TECHNIQUE IN DRUG USAGE PROCESS
NORVASC,DRUG HYPERSENSITIVITY,7,12.16,5.4,27.38,NORVASC + DRUG HYPERSENSITIVITY
JAKAFI,BONE PAIN,28,12.14,6.55,22.51,JAKAFI + BONE PAIN
LETAIRIS,OXYGEN SUPPLEMENTATION,5,12.13,2.35,62.56,LETAIRIS + OXYGEN SUPPLEMENTATION
ZOLOFT,HYPOAESTHESIA,5,12.13,4.71,31.2,ZOLOFT + HYPOAESTHESIA
METHOTREXATE,FEBRILE NEUTROPENIA,3,12.1,3.59,40.81,METHOTREXATE + FEBRILE NEUTROPENIA
SEROQUEL,MUSCLE SPASMS,3,12.0,3.57,40.31,SEROQUEL + MUSCLE SPASMS
KEPPRA,MALIGNANT NEOPLASM PROGRESSION,3,11.97,3.6,39.78,KEPPRA + MALIGNANT NEOPLASM PROGRESSION
NEXIUM,ABDOMINAL DISTENSION,4,11.96,4.2,34.03,NEXIUM + ABDOMINAL DISTENSION
NEURONTIN,CEREBROVASCULAR ACCIDENT,3,11.94,3.59,39.72,NEURONTIN + CEREBROVASCULAR ACCIDENT
PREDNISONE.,PAIN IN EXTREMITY,4,11.93,4.09,34.75,PREDNISONE. + PAIN IN EXTREMITY
DEPAKOTE,FOETAL EXPOSURE DURING PREGNANCY,5,11.92,4.58,31.05,DEPAKOTE + FOETAL EXPOSURE DURING PREGNANCY
BENADRYL,PYREXIA,3,11.9,3.41,41.5,BENADRYL + PYREXIA
FLUCONAZOLE,PYREXIA,3,11.9,3.41,41.5,FLUCONAZOLE + PYREXIA
COLCHICINE,ANAEMIA,3,11.89,3.29,42.9,COLCHICINE + ANAEMIA
MELATONIN,DIZZINESS,3,11.8,3.04,45.84,MELATONIN + DIZZINESS
CARDURA,DIZZINESS,3,11.8,3.04,45.84,CARDURA + DIZZINESS
TRAMADOL,HAEMOGLOBIN DECREASED,7,11.76,5.16,26.81,TRAMADOL + HAEMOGLOBIN DECREASED
SPIRIVA,DRUG ADMINISTRATION ERROR,3,11.75,3.5,39.46,SPIRIVA + DRUG ADMINISTRATION ERROR
SYNTHROID,STOMATITIS,3,11.73,3.45,39.86,SYNTHROID + STOMATITIS
OMEPRAZOLE.,CHEST PAIN,3,11.73,3.45,39.86,OMEPRAZOLE. + CHEST PAIN
XARELTO,HAEMORRHAGE,5,11.71,4.56,30.06,XARELTO + HAEMORRHAGE
VITAMIN E,ANAEMIA,4,11.67,3.84,35.44,VITAMIN E + ANAEMIA
NICOTINE,DRUG INEFFECTIVE,3,11.64,2.77,48.83,NICOTINE + DRUG INEFFECTIVE
GILENYA,URINARY TRACT INFECTION,3,11.61,3.49,38.6,GILENYA + URINARY TRACT INFECTION
EVEROLIMUS,PAIN,3,11.59,3.17,42.37,EVEROLIMUS + PAIN
NEXPLANON,PRODUCT QUALITY ISSUE,3,11.55,3.44,38.72,NEXPLANON + PRODUCT QUALITY ISSUE
EXEMESTANE,MALAISE,3,11.51,3.1,42.76,EXEMESTANE + MALAISE
LYRICA,DRUG EFFECT INCOMPLETE,3,11.47,3.29,40.0,LYRICA + DRUG EFFECT INCOMPLETE
JAKAFI,WHITE BLOOD CELL COUNT INCREASED,28,11.43,6.24,20.94,JAKAFI + WHITE BLOOD CELL COUNT INCREASED
SEROQUEL,OFF LABEL USE,4,11.4,3.92,33.2,SEROQUEL + OFF LABEL USE
SERTRALINE,DEPRESSION,4,11.38,3.97,32.64,SERTRALINE + DEPRESSION
DIOVAN,GAIT DISTURBANCE,4,11.33,3.97,32.33,DIOVAN + GAIT DISTURBANCE
FISH OIL,FLATULENCE,3,11.29,3.4,37.48,FISH OIL + FLATULENCE
XARELTO,CEREBROVASCULAR ACCIDENT,6,11.29,4.76,26.79,XARELTO + CEREBROVASCULAR ACCIDENT
HUMIRA,RECTAL HAEMORRHAGE,3,11.28,3.34,38.11,HUMIRA + RECTAL HAEMORRHAGE
PROCRIT,PLATELET COUNT DECREASED,5,11.28,4.29,29.66,PROCRIT + PLATELET COUNT DECREASED
EFFEXOR,DRUG HYPERSENSITIVITY,3,11.18,3.31,37.77,EFFEXOR + DRUG HYPERSENSITIVITY
CARBOPLATIN,OFF LABEL USE,3,11.18,3.27,38.2,CARBOPLATIN + OFF LABEL USE
LEVOTHYROXINE,BONE PAIN,5,11.17,4.32,28.86,LEVOTHYROXINE + BONE PAIN
DIAZEPAM,DRUG INTERACTION,4,11.13,3.85,32.14,DIAZEPAM + DRUG INTERACTION
ALEVE CAPLET,DRUG INEFFECTIVE,4,11.1,3.24,38.05,ALEVE CAPLET + DRUG INEFFECTIVE
FUROSEMIDE,RENAL FAILURE,3,11.09,3.33,36.9,FUROSEMIDE + RENAL FAILURE
VITAMIN E,HAEMOGLOBIN DECREASED,3,11.09,3.2,38.41,VITAMIN E + HAEMOGLOBIN DECREASED
FERROUS SULFATE,HAEMOGLOBIN DECREASED,3,11.09,3.2,38.41,FERROUS SULFATE + HAEMOGLOBIN DECREASED
TECFIDERA,HOT FLUSH,5,11.07,4.13,29.64,TECFIDERA + HOT FLUSH
OXALIPLATIN,VOMITING,5,11.07,4.13,29.64,OXALIPLATIN + VOMITING
FISH OIL,DYSGEUSIA,3,10.99,3.32,36.45,FISH OIL + DYSGEUSIA
DEXAMETHASONE,RENAL FAILURE ACUTE,3,10.99,3.33,36.33,DEXAMETHASONE + RENAL FAILURE ACUTE
AVONEX,NERVOUSNESS,4,10.98,3.8,31.76,AVONEX + NERVOUSNESS
DIGOXIN,ASTHENIA,5,10.96,4.1,29.35,DIGOXIN + ASTHENIA
YAZ,PAIN,11,10.94,5.55,21.57,YAZ + PAIN
PREDNISONE.,ABDOMINAL PAIN,4,10.92,3.75,31.78,PREDNISONE. + ABDOMINAL PAIN
ALEVE,WEIGHT INCREASED,3,10.86,3.18,37.11,ALEVE + WEIGHT INCREASED
ASPIRIN,HAEMATOCRIT DECREASED,6,10.85,4.3,27.39,ASPIRIN + HAEMATOCRIT DECREASED
LITHIUM,NAUSEA,4,10.84,3.43,34.23,LITHIUM + NAUSEA
KEPPRA,TREMOR,3,10.83,3.27,35.91,KEPPRA + TREMOR
AMPYRA,ASTHENIA,4,10.79,3.6,32.33,AMPYRA + ASTHENIA
SINGULAIR,SINUSITIS,3,10.78,3.26,35.65,SINGULAIR + SINUSITIS
LOMOTIL,FATIGUE,3,10.78,2.69,43.23,LOMOTIL + FATIGUE
ULORIC,FATIGUE,3,10.78,2.69,43.23,ULORIC + FATIGUE
METFORMIN,BLOOD GLUCOSE INCREASED,4,10.77,3.74,30.99,METFORMIN + BLOOD GLUCOSE INCREASED
OMEPRAZOLE.,PNEUMONIA,3,10.74,3.16,36.44,OMEPRAZOLE. + PNEUMONIA
OXALIPLATIN,CHEST PAIN,3,10.71,3.17,36.15,OXALIPLATIN + CHEST PAIN
COZAAR,HEADACHE,4,10.71,3.28,34.92,COZAAR + HEADACHE
HUMIRA,MYOCARDIAL INFARCTION,6,10.63,4.47,25.3,HUMIRA + MYOCARDIAL INFARCTION
DABIGATRAN,EPISTAXIS,4,10.63,3.75,30.14,DABIGATRAN + EPISTAXIS
JAKAFI,WHITE BLOOD CELL COUNT DECREASED,29,10.6,5.92,18.95,JAKAFI + WHITE BLOOD CELL COUNT DECREASED
OXYCODONE,BACK PAIN,4,10.59,3.71,30.24,OXYCODONE + BACK PAIN
VITAMIN D3,PARAESTHESIA,3,10.59,3.19,35.13,VITAMIN D3 + PARAESTHESIA
PEGASYS,DEPRESSION,3,10.57,3.16,35.35,PEGASYS + DEPRESSION
DEXAMETHASONE,NEUROPATHY PERIPHERAL,3,10.57,3.2,34.88,DEXAMETHASONE + NEUROPATHY PERIPHERAL
ALLOPURINOL,PLATELET COUNT DECREASED,18,10.56,6.25,17.82,ALLOPURINOL + PLATELET COUNT DECREASED
VICTRELIS,ASTHENIA,3,10.54,2.98,37.24,VICTRELIS + ASTHENIA
CARDIZEM,ASTHENIA,3,10.54,2.98,37.24,CARDIZEM + ASTHENIA
OXYGEN,DYSPNOEA,4,10.53,3.07,36.1,OXYGEN + DYSPNOEA
VENTOLIN HFA,DYSPNOEA,4,10.53,3.07,36.1,VENTOLIN HFA + DYSPNOEA
AVONEX,ADVERSE DRUG REACTION,3,10.41,3.08,35.21,AVONEX + ADVERSE DRUG REACTION
TRACLEER,HAEMORRHAGE,3,10.39,3.15,34.27,TRACLEER + HAEMORRHAGE
HUMIRA,INJECTION SITE PAIN,3,10.38,3.09,34.86,HUMIRA + INJECTION SITE PAIN
GABAPENTIN.,DIARRHOEA,3,10.37,2.79,38.5,GABAPENTIN. + DIARRHOEA
EXEMESTANE,DIARRHOEA,3,10.37,2.79,38.5,EXEMESTANE + DIARRHOEA
LEVEMIR,DIARRHOEA,3,10.37,2.79,38.5,LEVEMIR + DIARRHOEA
EVEROLIMUS,MALAISE,3,10.36,2.84,37.86,EVEROLIMUS + MALAISE
RAMIPRIL,FEELING ABNORMAL,5,10.33,4.0,26.67,RAMIPRIL + FEELING ABNORMAL
SIMVASTATIN,GASTROINTESTINAL HAEMORRHAGE,6,10.33,4.35,24.52,SIMVASTATIN + GASTROINTESTINAL HAEMORRHAGE
EFFEXOR XR,FEELING ABNORMAL,4,10.32,3.59,29.69,EFFEXOR XR + FEELING ABNORMAL
CITALOPRAM,DEPRESSION,6,10.31,4.35,24.46,CITALOPRAM + DEPRESSION
VITAMIN B12,HAEMOGLOBIN DECREASED,5,10.3,3.94,26.96,VITAMIN B12 + HAEMOGLOBIN DECREASED
MELATONIN,HEADACHE,3,10.3,2.65,39.99,MELATONIN + HEADACHE
GLUCOPHAGE,HEADACHE,3,10.3,2.65,39.99,GLUCOPHAGE + HEADACHE
JAKAFI,THERAPEUTIC RESPONSE UNEXPECTED,12,10.29,4.2,25.22,JAKAFI + THERAPEUTIC RESPONSE UNEXPECTED
JAKAFI,MEDICATION ERROR,12,10.29,4.2,25.22,JAKAFI + MEDICATION ERROR
TECFIDERA,MULTIPLE SCLEROSIS,4,10.29,3.45,30.66,TECFIDERA + MULTIPLE SCLEROSIS
LEVOTHYROXINE,INCREASED APPETITE,3,10.29,3.06,34.55,LEVOTHYROXINE + INCREASED APPETITE
ASPIRIN,TRANSAMINASES INCREASED,3,10.21,2.8,37.31,ASPIRIN + TRANSAMINASES INCREASED
ASPIRIN,WITHDRAWAL SYNDROME,3,10.21,2.8,37.31,ASPIRIN + WITHDRAWAL SYNDROME
PROCRIT,ANAEMIA,6,10.18,4.15,24.98,PROCRIT + ANAEMIA
ADCIRCA,THROAT IRRITATION,6,10.15,4.08,25.24,ADCIRCA + THROAT IRRITATION
NORCO,OFF LABEL USE,3,10.11,2.98,34.29,NORCO + OFF LABEL USE
LAMICTAL,FALL,4,10.09,3.46,29.42,LAMICTAL + FALL
CLOZARIL,PNEUMONIA,4,10.09,3.5,29.05,CLOZARIL + PNEUMONIA
ALLOPURINOL,BONE PAIN,5,10.08,3.91,26.01,ALLOPURINOL + BONE PAIN
DEPAKOTE,SUICIDAL IDEATION,4,10.08,3.5,28.97,DEPAKOTE + SUICIDAL IDEATION
FUROSEMIDE,RENAL FAILURE ACUTE,4,10.07,3.55,28.56,FUROSEMIDE + RENAL FAILURE ACUTE
PREDNISONE.,RASH,4,10.07,3.46,29.27,PREDNISONE. + RASH
WARFARIN,CARDIAC FAILURE CONGESTIVE,3,10.06,3.03,33.44,WARFARIN + CARDIAC FAILURE CONGESTIVE
OXYTROL FOR WOMEN,INCORRECT DRUG ADMINISTRATION DURATION,4,10.04,3.51,28.7,OXYTROL FOR WOMEN + INCORRECT DRUG ADMINISTRATION DURATION
REVLIMID,DEEP VEIN THROMBOSIS,3,10.02,3.03,33.1,REVLIMID + DEEP VEIN THROMBOSIS
REVLIMID,INFECTION,4,10.01,3.53,28.37,REVLIMID + INFECTION
KEPPRA,PARAESTHESIA,3,10.01,3.03,33.15,KEPPRA + PARAESTHESIA
METHOTREXATE,RESPIRATORY FAILURE,3,10.01,3.0,33.37,METHOTREXATE + RESPIRATORY FAILURE
ZOLOFT,PARAESTHESIA,4,9.99,3.52,28.33,ZOLOFT + PARAESTHESIA
DEXAMETHASONE,INFECTION,3,9.99,3.03,32.91,DEXAMETHASONE + INFECTION
ATENOLOL,SPLENOMEGALY,3,9.99,3.03,32.94,ATENOLOL + SPLENOMEGALY
XALKORI,DEATH,4,9.97,3.23,30.74,XALKORI + DEATH
GILENYA,HYPOAESTHESIA,3,9.96,3.01,33.01,GILENYA + HYPOAESTHESIA
VITAMIN C,CONTUSION,3,9.96,3.01,33.01,VITAMIN C + CONTUSION
BISOPROLOL,HYPOTENSION,3,9.95,2.99,33.1,BISOPROLOL + HYPOTENSION
DOXORUBICIN,PYREXIA,3,9.91,2.89,33.98,DOXORUBICIN + PYREXIA
FOLINIC ACID,NAUSEA,3,9.91,2.67,36.78,FOLINIC ACID + NAUSEA
POTASSIUM,URINARY TRACT INFECTION,3,9.91,3.0,32.71,POTASSIUM + URINARY TRACT INFECTION
VICODIN,DRUG HYPERSENSITIVITY,4,9.87,3.45,28.23,VICODIN + DRUG HYPERSENSITIVITY
HYDROCHLOROTHIAZIDE,GASTROINTESTINAL HAEMORRHAGE,3,9.86,2.99,32.47,HYDROCHLOROTHIAZIDE + GASTROINTESTINAL HAEMORRHAGE
ADVAIR HFA,COUGH,3,9.83,2.82,34.23,ADVAIR HFA + COUGH
NORCO,WEIGHT INCREASED,3,9.82,2.9,33.3,NORCO + WEIGHT INCREASED
MIRENA,ABDOMINAL PAIN,8,9.82,4.6,20.97,MIRENA + ABDOMINAL PAIN
OXALIPLATIN,PNEUMONIA,3,9.8,2.91,33.04,OXALIPLATIN + PNEUMONIA
ADVAIR,PNEUMONIA,6,9.79,4.11,23.31,ADVAIR + PNEUMONIA
PROGRAF,DRUG INEFFECTIVE,8,9.78,4.17,22.97,PROGRAF + DRUG INEFFECTIVE
METFORMIN,SPLENOMEGALY,5,9.77,3.8,25.12,METFORMIN + SPLENOMEGALY
VENTAVIS,SWELLING,3,9.77,2.96,32.26,VENTAVIS + SWELLING
RANITIDINE,ABDOMINAL PAIN,4,9.75,3.37,28.14,RANITIDINE + ABDOMINAL PAIN
ZYRTEC,ABDOMINAL PAIN,4,9.75,3.37,28.14,ZYRTEC + ABDOMINAL PAIN
SIMVASTATIN.,MUSCLE SPASMS,3,9.74,2.93,32.36,SIMVASTATIN. + MUSCLE SPASMS
OXYCONTIN,ANAEMIA,4,9.72,3.26,28.96,OXYCONTIN + ANAEMIA
AZOPT,DRUG INEFFECTIVE,3,9.69,2.42,38.88,AZOPT + DRUG INEFFECTIVE
OXYBUTYNIN,DRUG INEFFECTIVE,3,9.69,2.42,38.88,OXYBUTYNIN + DRUG INEFFECTIVE
VANCOMYCIN,DEATH,3,9.69,2.65,35.38,VANCOMYCIN + DEATH
CISPLATIN,VOMITING,5,9.68,3.66,25.63,CISPLATIN + VOMITING
TECFIDERA,BURNING SENSATION,5,9.68,3.66,25.63,TECFIDERA + BURNING SENSATION
IRON,CONTUSION,3,9.68,2.93,32.05,IRON + CONTUSION
METHOTREXATE,FEELING HOT,3,9.67,2.9,32.2,METHOTREXATE + FEELING HOT
FLEXERIL,PAIN,3,9.66,2.71,34.43,FLEXERIL + PAIN
REVATIO,PRODUCTIVE COUGH,3,9.63,2.77,33.54,REVATIO + PRODUCTIVE COUGH
ALLOPURINOL,HAEMOGLOBIN DECREASED,17,9.62,5.64,16.41,ALLOPURINOL + HAEMOGLOBIN DECREASED
TOPROL XL,DRUG INTERACTION,3,9.61,2.86,32.25,TOPROL XL + DRUG INTERACTION
LEVOTHYROXINE,FLATULENCE,4,9.6,3.36,27.41,LEVOTHYROXINE + FLATULENCE
TYSABRI,MUSCULAR WEAKNESS,7,9.59,4.3,21.37,TYSABRI + MUSCULAR WEAKNESS
ONDANSETRON,PYREXIA,4,9.57,3.29,27.8,ONDANSETRON + PYREXIA
PROLIA,DEATH,9,9.55,4.5,20.23,PROLIA + DEATH
